open_time,open,high,low,close,volume,close_time,quote_volume,trades,taker_buy_base,taker_buy_quote,ignore
1766998800000,859.36,859.49,847.72,851.78,65198.6,1767002399999,55590590.04300,90236,27109.82,23113877.20100,0
1767002400000,851.78,855.0,851.18,854.37,24509.77,1767005999999,20922604.77420,44557,13934.96,11895008.15560,0
1767006000000,854.37,855.89,853.04,853.38,13838.54,1767009599999,11824988.34780,25614,7531.43,6436035.68970,0
1767009600000,853.38,854.28,846.22,852.26,46772.92,1767013199999,39769865.24070,73030,23655.52,20112741.48850,0
1767013200000,852.26,853.67,849.0,850.3,17034.66,1767016799999,14495317.52940,32922,6644.79,5654675.81950,0
1767016800000,850.31,855.85,848.87,851.55,33157.94,1767020399999,28273932.67940,56896,16147.58,13769296.82200,0
1767020400000,851.55,855.54,850.68,853.87,17949.49,1767023999999,15319802.15090,36409,9568.02,8166810.45860,0
1767024000000,853.87,855.65,850.2,854.1,33332.9,1767027599999,28412045.81030,35924,19292.36,16441664.56590,0
1767027600000,854.1,855.07,852.31,854.75,9449.76,1767031199999,8070422.12530,20221,5424.89,4633223.96740,0
1767031200000,854.76,855.81,851.26,852.21,14564.76,1767034799999,12435628.52720,24110,6134.67,5239788.16060,0
1767034800000,852.21,853.98,851.52,853.47,10583.8,1767038399999,9024690.36720,19538,5065.47,4319080.49080,0
1767038400000,853.47,855.47,851.82,853.09,13366.72,1767041999999,11410685.85170,23347,6063.96,5176340.02240,0
1767042000000,853.1,855.42,852.83,855.13,3958.44,1767045599999,3381350.20610,12852,2441.00,2085364.92300,0
1767045600000,855.13,855.13,853.27,854.07,4573.46,1767049199999,3906151.91310,13013,1993.21,1702224.75770,0
1767049200000,854.07,854.24,852.42,852.85,5512.04,1767052799999,4703218.73750,13000,2778.48,2370571.16240,0
1767052800000,852.85,853.96,851.01,852.0,9527.32,1767056399999,8121200.37580,17235,4009.26,3417425.70380,0
1767056400000,852.0,853.73,850.62,852.98,8819.52,1767059999999,7514805.83250,17330,4498.73,3833436.10980,0
1767060000000,852.99,853.11,849.32,850.27,14261.65,1767063599999,12134083.63820,23505,5045.92,4293906.86510,0
1767063600000,850.27,853.66,849.17,853.05,12253.31,1767067199999,10437779.36910,24235,7688.20,6550347.58760,0
1767067200000,853.05,853.68,851.6,852.95,6301.53,1767070799999,5373897.50550,14778,2919.81,2490116.40010,0
1767070800000,852.94,853.57,850.83,851.42,5654.6,1767074399999,4818655.36160,15055,2746.42,2339998.95540,0
1767074400000,851.41,855.34,851.21,853.94,9935.2,1767077999999,8482887.89140,20319,4851.86,4141933.03340,0
1767078000000,853.94,855.39,853.46,854.24,6678.11,1767081599999,5704534.26720,16992,3262.33,2786848.78620,0
1767081600000,854.25,860.32,854.24,856.94,33734.01,1767085199999,28938203.49350,53735,17739.51,15217894.51650,0
1767085200000,856.95,857.86,855.0,857.0,9479.28,1767088799999,8116103.32990,22219,4517.06,3867996.97370,0
1767088800000,857.0,857.48,855.33,855.73,7712.49,1767092399999,6602996.53240,17717,3420.43,2928465.36680,0
1767092400000,855.74,856.64,854.5,855.38,7318.42,1767095999999,6261283.00480,15889,2998.97,2565928.79440,0
1767096000000,855.39,857.19,855.12,857.08,8205.85,1767099599999,7026527.53110,18948,3854.92,3300867.51730,0
1767099600000,857.08,863.9,856.88,863.3,32280.28,1767103199999,27782475.87070,41745,18356.02,15796448.92310,0
1767103200000,863.3,864.67,858.36,862.33,34299.52,1767106799999,29533679.26170,64267,16184.72,13935285.10330,0
1767106800000,862.32,864.0,858.24,863.24,26407.62,1767110399999,22740137.32900,53197,13992.12,12048697.49660,0
