open_time,open,high,low,close,volume,close_time,quote_volume,trades,taker_buy_base,taker_buy_quote,ignore
1766588400000,12.099,12.193,12.041,12.173,792492.82,1766591999999,9596132.65948,32521,421036.35,5098470.10282,0
1766592000000,12.173,12.276,12.126,12.196,822779.78,1766595599999,10038521.58327,28253,405509.36,4946007.55694,0
1766595600000,12.197,12.224,12.131,12.136,402745.71,1766599199999,4905728.42524,17246,165922.26,2021174.36553,0
1766599200000,12.136,12.216,12.114,12.2,278676.05,1766602799999,3390493.92349,13492,135959.71,1654551.15411,0
1766602800000,12.199,12.252,12.169,12.243,264415.08,1766606399999,3228788.89572,11344,150404.24,1837008.24404,0
1766606400000,12.244,12.274,12.218,12.226,248627.36,1766609999999,3045648.57229,12786,119849.19,1468406.67135,0
1766610000000,12.227,12.297,12.227,12.282,287647.86,1766613599999,3528562.36774,11813,180914.83,2219142.53113,0
1766613600000,12.283,12.365,12.277,12.361,324705.98,1766617199999,4001938.65120,12406,199527.61,2459368.98432,0
1766617200000,12.362,12.372,12.251,12.269,728299.67,1766620799999,8960699.67114,19937,359745.60,4425135.16437,0
1766620800000,12.269,12.289,12.223,12.231,297999.13,1766624399999,3652060.59728,11515,137113.71,1680848.13183,0
1766624400000,12.232,12.304,12.225,12.277,224130.78,1766627999999,2748122.40607,8527,111776.85,1370230.25946,0
1766628000000,12.278,12.36,12.248,12.348,270269.96,1766631599999,3329170.75548,11111,144653.86,1781973.27208,0
1766631600000,12.348,12.352,12.3,12.326,203852.76,1766635199999,2513032.40859,8239,81119.41,1000041.52359,0
1766635200000,12.327,12.349,12.318,12.331,147885.09,1766638799999,1824214.57338,7084,74032.79,913219.44194,0
1766638800000,12.332,12.332,12.28,12.304,255566.46,1766642399999,3144031.05510,10086,114982.53,1414552.98165,0
1766642400000,12.305,12.34,12.294,12.32,165570.27,1766645999999,2039986.22146,7339,80564.41,992606.23330,0
1766646000000,12.321,12.322,12.274,12.302,220996.55,1766649599999,2716190.18426,7920,94148.84,1157190.88122,0
1766649600000,12.302,12.358,12.228,12.26,426220.54,1766653199999,5233783.71259,15882,184002.52,2260024.44251,0
1766653200000,12.261,12.265,12.208,12.211,324800.43,1766656799999,3972266.42048,10522,146775.96,1795032.92569,0
1766656800000,12.211,12.218,12.104,12.141,664359.19,1766660399999,8072936.81930,23348,292317.57,3551568.82435,0
1766660400000,12.142,12.207,12.136,12.185,276929.85,1766663999999,3372767.88389,11462,131548.84,1601913.82387,0
1766664000000,12.185,12.235,12.17,12.23,212379.17,1766667599999,2591313.14973,9400,99986.64,1220409.91526,0
1766667600000,12.23,12.28,12.184,12.247,311537.42,1766671199999,3811268.44753,11662,141885.97,1736354.38028,0
1766671200000,12.246,12.268,12.19,12.23,220345.78,1766674799999,2694393.38376,9873,101280.52,1238581.40073,0
1766674800000,12.231,12.421,12.202,12.369,835214.57,1766678399999,10304372.45502,29392,490837.79,6057185.24316,0
1766678400000,12.369,12.415,12.299,12.315,595753.0,1766681999999,7370313.00117,20737,294586.10,3645841.89512,0
1766682000000,12.315,12.325,12.263,12.304,330036.66,1766685599999,4057005.94039,12401,144850.89,1780710.36544,0
1766685600000,12.305,12.384,12.305,12.356,266466.38,1766689199999,3291884.90112,11469,150753.16,1862302.71549,0
1766689200000,12.356,12.38,12.326,12.378,163608.57,1766692799999,2020876.07556,7588,77268.55,954576.19240,0
1766692800000,12.378,12.388,12.318,12.329,176473.93,1766696399999,2179212.75304,9371,68248.49,842867.48323,0
1766696400000,12.33,12.346,12.298,12.309,117912.18,1766699999999,1452941.88267,6470,53104.45,654370.03293,0
